id	category_code	category_name	brand_name	bar_code	name	unit	packing_unit	packing_specification	suggested_retail_price	supply_price	cost_price	supplier_name	valid_period	portrait	unit_specification
3235	0803	蜜饯果干	派乐滋	6950758401083	派乐滋	袋	箱	40	8	0	0		540		20g/袋
3236	0803	蜜饯果干	派乐滋	6950758401052	派乐滋	袋	箱	40	8	0	0		540		20g/袋
3237	0803	蜜饯果干	派乐滋	6950758401106	派乐滋	袋	箱	40	8	0	0		540		20g/袋
3238	0803	蜜饯果干	派乐滋	6950758400208	派乐滋	袋	箱	40	8	0	0		540		20g/袋
3239	0804	香脆食品	一米素	4712245013030	一米素	袋	箱	10	8	0	0		360		60g/袋
3240	0808	面包糕点	亲亲	1713282776858	亲亲	盒	箱	24	13	0	0		360		110g/盒
3241	0807	饼干	长松	4713093030477	长松	罐	箱	12	29	0	0		360		200g/罐
3242	0807	饼干	长松	4713093030453	长松	罐	箱	12	29	0	0		360		200g/罐
3243	0804	香脆食品	台湾好味	4713093018519	台湾好味	包	箱	20	12	0	0		300		120g/包
3244	0804	香脆食品	张君雅	4710199086803	张君雅	包	箱	30	4	0	0		300		40g/包
3245	0807	饼干	欧米乐	0000020994160	欧米乐	kg	箱	4.75	20	0	0		360		
3246	0804	香脆食品	张君雅	4710199085707	张君雅	袋	箱	15	9	0	0		360		80g/袋
3247	0804	香脆食品	张君雅	4710199085509	张君雅	袋	箱	15	9	0	0		360		100g/袋
3248	0804	香脆食品	张君雅	4710199087701	张君雅	袋	箱	15	9	0	0		360		78g/袋
3249	0804	香脆食品	张君雅	4710199037010	张君雅	袋	箱	15	9	0	0		360		65g/袋
3250	0804	香脆食品	张君雅	4710199080597	张君雅	袋	箱	15	9	0	0		300		78g/袋
3251	0804	香脆食品	张君雅	4710199080566	张君雅	袋	箱	15	9	0	0		360		80g/袋
3252	070101	奶茶	3点1刻	4712134660819	3点1刻	盒	箱	24	17	0	0		730		100g/盒
3253	070101	奶茶	3点1刻	4712134660840	3点1刻	盒	箱	24	17	0	0		730		100g/盒
3254	0809	果冻	TRIKO	4962679619517	TRIKO	桶	箱	6	60	0	0		365		580g/桶
3255	0809	果冻	TRIKO	4710174105901	TRIKO	桶	箱	6	60	0	0		365		580g/桶
3256	091002	进口干(坚)果仁	天新发	8936034510012	天新发	包	箱	20	26	0	0		360		230g/包
3257	091002	进口干(坚)果仁	天新发	8936034510050	天新发	包	箱	20	20	0	0		360		230g/包
3258	091002	进口干(坚)果仁	天新发	8936034510098	天新发	包	箱	20	26	0	0		360		230g/包
3259	0809	果冻	苏曲儿	6926805100018	苏曲儿	kg	箱	5	28	0	0		360		
3260	0809	果冻	苏曲儿	6926805100018	苏曲儿	kg	箱	5	28	0	0		360		
3261	0809	果冻	苏曲儿	6926805100018	苏曲儿	kg	箱	5	28	0	0		360		
3262	0802	肉类熟食	萨啦咪	6946866090950	萨啦咪	包	箱	20	12	0	0		300		78g/包
3263	0802	肉类熟食	萨啦咪	6921799887501	萨啦咪	包	箱	20	13	0	0		300		78g/包
3264	0801	坚果炒货	逗妮开心	6921978610142	逗妮开心	袋	箱	5	22	0	0		300		218g/袋
3265	0801	坚果炒货	逗妮开心	6928721188019	逗妮开心	袋	箱	5	7	0	0		300		100g/袋
3266	0801	坚果炒货	逗妮开心	6921978610005	逗妮开心	袋	箱	5	4	0	0		240		120g/袋
3267	0801	坚果炒货	逗妮开心	6921978610029	逗妮开心	袋	箱	5	4	0	0		300		120g/袋
3268	0801	坚果炒货	逗妮开心	6921978610203	逗妮开心	袋	箱	5	6	0	0		300		200g/袋
3269	0801	坚果炒货	逗妮开心	6921978610081	逗妮开心	袋	箱	5	7	0	0		300		200g/袋
3270	0801	坚果炒货	逗妮开心	6921978610210	逗妮开心	袋	箱	5	22	0	0		300		205g/袋
3271	0801	坚果炒货	逗妮开心	6921978610180	逗妮开心	袋	箱	5	13	0	0		300		218g/袋
3272	0801	坚果炒货	逗妮开心	6921978610043	逗妮开心	罐	箱	5	38	0	0		300		118g/罐
3273	0801	坚果炒货	逗妮开心	6921978610128	逗妮开心	袋	箱	5	22	0	0		300		218g/袋
3274	0801	坚果炒货	逗妮开心	6970243480515	逗妮开心	罐	箱	5	39	0	0		300		158g/罐
3275	0801	坚果炒货	逗妮开心	6921978610685	逗妮开心	罐	箱	5	30	0	0		300		158g/罐
3276	0807	饼干	逗妮开心	6921978611361	逗妮开心	罐	箱	5	20	0	0		240		168g/罐
3277	0801	坚果炒货	逗妮开心	6921978611323	逗妮开心	罐	箱	5	18	0	0		240		200g/罐
3278	0801	坚果炒货	逗妮开心	6921978611330	逗妮开心	罐	箱	5	13	0	0		240		200g/罐
3279	0801	坚果炒货	逗妮开心	6921978611309	逗妮开心	罐	箱	5	13	0	0		240		200g/罐
3280	0801	坚果炒货	逗妮开心	6921978611316	逗妮开心	罐	箱	5	13	0	0		240		200g/罐
3281	070601	美容	逗妮开心	6921978630096	逗妮开心	罐	箱	5	15	0	0		540		130g/罐
3282	070601	美容	逗妮开心	6921978630133	逗妮开心	罐	箱	5	12	0	0		540		30g/罐
3283	070601	美容	逗妮开心	6921978630072	逗妮开心	罐	箱	5	10	0	0		540		150g/罐
3284	070601	美容	逗妮开心	6921978630089	逗妮开心	罐	箱	5	18	0	0		540		50g/罐
3285	0803	蜜饯果干	逗妮开心	6921978610753	逗妮开心	kg	箱	2.5	39	0	0		360		
3286	0803	蜜饯果干	逗妮开心	6921978600334	逗妮开心	kg	箱	2.5	77	0	0		360		
3287	0803	蜜饯果干	逗妮开心	6921978600327	逗妮开心	kg	箱	2.5	58	0	0		360		
3288	0803	蜜饯果干	逗妮开心	6921978600310	逗妮开心	kg	箱	2.5	40	0	0		360		
3289	0803	蜜饯果干	逗妮开心	6921978620011	逗妮开心	袋	箱	5	8	0	0		360		160g/袋
3290	0803	蜜饯果干	逗妮开心	6921978620004	逗妮开心	袋	箱	5	12	0	0		360		200g/袋
3291	0803	蜜饯果干	逗妮开心	6921978620035	逗妮开心	袋	箱	5	10	0	0		360		160g/袋
3292	0803	蜜饯果干	逗妮开心	6921978620080	逗妮开心	袋	箱	5	7	0	0		360		118g/袋
3293	0803	蜜饯果干	逗妮开心	6921978620066	逗妮开心	袋	箱	5	16	0	0		240		118g/袋
3294	0803	蜜饯果干	逗妮开心	6921978620059	逗妮开心	袋	箱	5	10	0	0		360		100g/袋
